full_name,description,html_url,language,stars,forks,license,category,priority,topics,updated_at
swarmclawai/swarmvault,本地优先知识保险库,https://github.com/swarmclawai/swarmvault,TypeScript,501,60,MIT,platform,P0,"agent-memory, ai-agents, claude-code, claude-code-memory, codex, karpathy, knowledge-graph, llm, llm-wiki, local-first, mcp, mcp-server, obsidian, obsidian-alternative, openclaw, opencode, personal-knowledge-management, pkm, rag, wiki",2026-05-27T22:18:24Z
axoviq-ai/synthadoc,合成文档引擎,https://github.com/axoviq-ai/synthadoc,Python,301,35,AGPL-3.0,platform,P0,"agent-skills, agentic-ai, cli-tool, domain-adaptation, enterprise, enterprise-solutions, knowledge-graph, local-llm, obsidian-md, obsidian-plugin, personal-knowledge-management, pkm, rag-alternative, synthetic, synthetic-data",2026-05-28T04:06:09Z
Yrzhe/pagefly,页面级知识编译,https://github.com/Yrzhe/pagefly,Python,63,4,MIT,kb,P0,"ai-agents, claude, fastapi, knowledge-graph, knowledge-management, obsidian, personal-knowledge-base, react, self-hosted, telegram-bot",2026-05-26T13:53:57Z
Astro-Han/karpathy-llm-wiki,Karpathy LLM Wiki,https://github.com/Astro-Han/karpathy-llm-wiki,,932,127,MIT,kb,P0,"agent-skill, claude-code, codex, cursor, karpathy, knowledge-base, knowledge-management, llm, llm-wiki, markdown, personal-knowledge-base, productivity, rag-alternative",2026-05-28T03:28:26Z
mem0ai/mem0,Agent 长期记忆层,https://github.com/mem0ai/mem0,Python,56930,6480,Apache-2.0,memory,P0,"agents, ai, ai-agents, application, chatbots, chatgpt, genai, llm, long-term-memory, memory, memory-management, python, rag, state-management",2026-05-28T05:55:33Z
langchain-ai/langmem,LangChain 记忆模块,https://github.com/langchain-ai/langmem,Python,1473,168,MIT,memory,P0,,2026-05-28T04:54:31Z
langchain-ai/langgraph,知识图谱构建,https://github.com/langchain-ai/langgraph,Python,33174,5597,MIT,kb,P0,"agents, ai, ai-agents, chatgpt, deepagents, enterprise, framework, gemini, generative-ai, langchain, langgraph, llm, multiagent, open-source, openai, pydantic, python, rag",2026-05-28T05:49:26Z
getzep/graphiti,时序知识图谱,https://github.com/getzep/graphiti,Python,26682,2656,Apache-2.0,memory,P0,"agents, graph, llms, rag",2026-05-28T05:41:00Z
getzep/zep,知识图谱平台,https://github.com/getzep/zep,Python,4617,631,Apache-2.0,memory,P0,"ai, knowledge-graphs, language-model, llm",2026-05-28T03:50:40Z
toeverything/AFFiNE,开源 Notion 替代,https://github.com/toeverything/AFFiNE,TypeScript,68827,4889,NOASSERTION,platform,P1,"app, crdt, editor, electron, knowledge-base, markdown, miro, notes, notion, notion-alternative, rust, rust-lang, rust-language, table, tableview, whiteboard, wiki, workspace",2026-05-28T05:17:56Z
AppFlowy-IO/AppFlowy,开源 Notion 替代,https://github.com/AppFlowy-IO/AppFlowy,Dart,71376,5339,AGPL-3.0,platform,P1,"blog, confluence-alternative, content-management, content-services, documentation, flutter, note-taking, notion-alternative, project-management, task-management, team-collaboration, wiki",2026-05-28T05:31:17Z
laurent22/joplin,开源笔记应用,https://github.com/laurent22/joplin,TypeScript,54995,6129,NOASSERTION,platform,P1,"android, dropbox, electron, enex-files, evernote, javascript, joplin, nextcloud, nodejs, note-taking, notesnook, obsidian, onedrive, react-native, standardnotes, synchronisation, web-clipper, webdav",2026-05-28T03:10:15Z
TriliumNext/Trilium,层级知识库,https://github.com/TriliumNext/Trilium,TypeScript,36237,2419,AGPL-3.0,platform,P1,"electron, electron-app, knowledge-base, knowledge-graph, knowledge-management, knowledge-management-graph, local-first, note-managment, note-taker, note-taking, notebook, notes, notes-app, personal-knowledge-base, personal-wiki, scriptable, self-hosted, self-hosting, wiki",2026-05-28T05:38:20Z
requarks/wiki,Wiki.js 维基平台,https://github.com/requarks/wiki,Vue,28371,3232,AGPL-3.0,platform,P2,"cross-platform, documentation, git, markdown, nodejs, open-source, wiki",2026-05-28T04:30:26Z
BookStackApp/BookStack,文档管理平台,https://github.com/BookStackApp/BookStack,PHP,18785,2380,MIT,platform,P2,"bookstack, documentation, laravel, php, selfhosted, wiki",2026-05-28T03:18:33Z
,知识管理awesome,,,,,,meta,P2,,
